category|merchant_name
health_fitness|Rippin-VonRueden
food_dining|Bernhard-Lesch
personal_care|Kozey-Kuhlman
health_fitness|Torphy-Kertzmann
misc_net|Huel Ltd
health_fitness|Hills, Hegmann and Schaefer
health_fitness|Mueller, Gerhold and Mueller
food_dining|Kuphal-Toy
misc_pos|Boehm, Block and Jakubowski
shopping_net|Kuhic, Bins and Pfeffer
personal_care|Nader-Maggio
shopping_net|Labadie, Treutel and Bode
grocery_net|Bahringer-Larson
misc_net|Donnelly PLC
travel|Block-Hauck
grocery_net|Tromp, Kerluke and Glover
health_fitness|Hamill-D'Amore
entertainment|Grimes LLC
utilities|Gutkowski, Muller and McCullough
utilities|Vandervort, Crooks and Lockman
kids_pets|Bode-Rempel
pharmacy|Ferry-White
home|Gulgowski LLC
misc_pos|Wisozk and Sons
pharmacy|Homenick-Block
personal_care|Roberts, Ryan and Smith
food_dining|Schuppe-Schuppe
misc_net|Bogisich-Homenick
entertainment|Larkin, Stracke and Greenfelder
personal_care|Baumbach Ltd
grocery_pos|Huel, Hammes and Witting
entertainment|Douglas-White
home|Lynch-Wisozk
gas_transport|Zieme, Bode and Dooley
grocery_net|Harris, Gusikowski and Heaney
health_fitness|Cormier LLC
utilities|Nienow, Murphy and Von
entertainment|Upton PLC
grocery_pos|Doyle Ltd
grocery_pos|Kutch and Sons
entertainment|Schroeder, Hauck and Treutel
grocery_pos|Lockman Ltd
home|Beier and Sons
kids_pets|Pacocha-Weissnat
shopping_pos|Mayert Group
grocery_net|McCullough Group
pharmacy|Herman Ltd
gas_transport|Schmitt Inc
misc_net|Kuphal-Bartoletti
personal_care|Watsica LLC
